iter	Passed	Remaining
0	7	7894
1	18	9020
2	23	7647
3	29	7318
4	35	7060
5	40	6781
6	45	6479
7	52	6523
8	58	6429
9	62	6178
10	71	6467
11	80	6604
12	86	6542
13	92	6531
14	96	6315
15	100	6152
16	104	6049
17	111	6071
18	116	6033
19	120	5886
20	123	5770
21	128	5694
22	131	5587
23	134	5489
24	138	5407
25	142	5332
26	147	5331
27	151	5246
28	154	5168
29	157	5107
30	161	5046
31	167	5066
32	170	5007
33	177	5038
34	185	5121
35	191	5116
36	198	5175
37	207	5260
38	214	5286
39	221	5318
40	226	5287
41	231	5276
42	235	5247
43	242	5259
44	247	5251
45	251	5223
46	255	5175
47	261	5195
48	268	5207
49	274	5207
50	280	5216
51	284	5177
52	287	5133
53	291	5111
54	296	5096
55	300	5067
56	304	5034
57	307	4998
58	311	4965
59	314	4933
60	318	4896
61	321	4862
62	324	4830
63	328	4799
64	332	4784
65	336	4755
66	339	4727
67	342	4698
68	346	4672
69	351	4666
70	354	4640
71	358	4614
72	361	4588
73	365	4573
74	370	4573
75	374	4549
76	378	4533
77	386	4573
78	392	4580
79	399	4592
80	406	4608
81	409	4588
82	421	4651
83	438	4782
84	448	4825
85	454	4831
86	464	4871
87	468	4859
88	473	4848
89	482	4882
90	493	4931
91	503	4972
92	508	4954
93	511	4933
94	518	4939
95	522	4923
96	526	4898
97	529	4872
98	533	4857
99	538	4848
100	542	4824
101	546	4809
102	549	4787
103	554	4776
104	557	4752
105	562	4743
106	566	4727
107	576	4758
108	582	4759
109	588	4760
110	593	4749
111	596	4725
112	602	4730
113	606	4711
114	610	4699
115	616	4698
116	619	4677
117	623	4660
118	627	4642
119	633	4649
120	637	4628
121	640	4611
122	647	4615
123	650	4596
124	654	4578
125	657	4558
126	664	4565
127	667	4546
128	671	4536
129	677	4532
130	684	4543
131	693	4561
132	697	4546
133	701	4535
134	704	4516
135	710	4514
136	713	4497
137	718	4485
138	723	4481
139	726	4464
140	729	4447
141	733	4434
142	739	4434
143	743	4418
144	746	4403
145	750	4388
146	759	4405
147	764	4402
148	772	4413
149	776	4401
150	780	4390
151	784	4378
152	788	4365
153	792	4354
154	795	4339
155	799	4325
156	802	4310
157	806	4297
158	810	4289
159	814	4275
160	817	4261
161	821	4247
162	824	4234
163	831	4238
164	834	4224
165	837	4209
166	841	4198
167	845	4187
168	848	4174
169	852	4162
170	856	4150
171	859	4137
172	862	4124
