iter	Passed	Remaining
0	33	32976
1	50	24984
2	72	24064
3	84	20981
4	98	19509
5	112	18692
6	127	18092
7	141	17523
8	157	17358
9	173	17129
10	199	17941
11	223	18363
12	251	19118
13	276	19448
14	298	19613
15	324	19930
16	344	19927
17	365	19939
18	397	20528
19	435	21363
20	485	22627
21	500	22270
22	523	22217
23	536	21822
24	550	21454
25	563	21121
26	576	20792
27	590	20509
28	607	20356
29	633	20486
30	662	20723
31	702	21243
32	726	21286
33	750	21327
34	772	21307
35	788	21120
36	802	20899
37	832	21074
38	859	21183
39	896	21525
40	934	21862
41	990	22599
42	1136	25291
43	1263	27454
44	1329	28205
45	1402	29090
46	1428	28964
47	1479	29334
48	1512	29358
49	1543	29332
50	1559	29024
51	1575	28715
52	1590	28418
53	1601	28056
54	1628	27978
55	1671	28179
56	1698	28103
57	1753	28482
58	1800	28721
59	1851	29012
60	1933	29760
61	1979	29943
62	2012	29933
63	2027	29652
64	2041	29373
65	2061	29173
66	2081	28989
67	2113	28962
68	2139	28861
69	2159	28694
70	2177	28486
71	2198	28329
72	2212	28101
73	2228	27888
74	2242	27659
75	2257	27440
76	2291	27465
77	2326	27500
78	2366	27589
79	2407	27688
80	2423	27498
81	2438	27298
82	2451	27085
83	2465	26888
84	2479	26692
85	2496	26536
86	2524	26491
87	2554	26474
88	2587	26480
89	2636	26659
90	2668	26650
91	2708	26728
92	2755	26872
93	2795	26944
94	2821	26882
95	2846	26805
96	2860	26627
97	2874	26455
98	2887	26282
99	2902	26122
100	2927	26061
101	2955	26023
102	2990	26043
103	3019	26016
104	3049	25989
105	3066	25864
106	3085	25749
107	3102	25626
108	3121	25519
109	3154	25522
110	3180	25473
111	3207	25429
112	3239	25425
113	3266	25390
114	3279	25240
115	3301	25158
116	3315	25022
117	3332	24908
118	3345	24770
119	3369	24708
120	3395	24666
121	3422	24629
122	3441	24537
123	3459	24437
124	3476	24333
125	3493	24236
126	3512	24143
127	3528	24040
128	3546	23942
129	3560	23824
130	3582	23765
131	3619	23802
132	3647	23776
133	3664	23683
134	3682	23592
135	3699	23500
136	3715	23405
137	3732	23313
138	3750	23228
139	3767	23144
140	3786	23066
141	3811	23028
142	3847	23060
143	3866	22987
144	3885	22908
145	3903	22831
146	3921	22753
147	3940	22684
148	3957	22602
149	3971	22503
150	3987	22420
151	4013	22390
152	4038	22357
153	4057	22290
154	4071	22197
155	4085	22101
156	4098	22006
157	4112	21916
158	4125	21823
159	4136	21715
160	4149	21625
161	4166	21552
162	4180	21465
163	4198	21401
164	4227	21392
165	4255	21377
166	4270	21303
167	4284	21219
168	4299	21143
169	4313	21060
170	4326	20976
171	4340	20896
172	4354	20815
173	4366	20729
174	4379	20648
175	4394	20572
176	4420	20554
177	4446	20533
178	4460	20457
179	4470	20364
180	4484	20291
181	4498	20217
182	4512	20143
183	4525	20070
184	4539	19998
185	4553	19926
186	4565	19850
187	4579	19779
188	4592	19705
189	4610	19656
190	4636	19640
191	4670	19655
192	4691	19615
193	4709	19567
194	4726	19512
195	4743	19456
196	4760	19402
197	4776	19347
198	4793	19294
199	4810	19243
200	4824	19179
201	4841	19125
202	4858	19074
203	4882	19050
204	4903	19015
205	4917	18955
206	4931	18892
207	4946	18834
208	4959	18770
209	4973	18708
210	4989	18656
211	5003	18596
212	5017	18537
213	5030	18477
214	5050	18438
215	5073	18416
216	5091	18372
217	5107	18322
218	5122	18266
219	5135	18207
220	5149	18151
221	5163	18095
222	5177	18040
223	5191	17985
224	5205	17929
225	5218	17873
226	5232	17818
227	5246	17764
228	5272	17753
229	5298	17738
230	5314	17692
231	5328	17638
232	5342	17585
233	5355	17531
234	5368	17477
235	5382	17423
236	5395	17370
237	5409	17319
238	5423	17267
239	5436	17215
240	5450	17164
241	5463	17113
242	5485	17090
243	5512	17078
244	5529	17040
245	5547	17004
246	5565	16967
247	5583	16930
248	5601	16895
249	5622	16868
250	5642	16836
251	5660	16802
252	5678	16766
253	5700	16742
254	5728	16736
255	5751	16715
256	5766	16670
257	5779	16622
258	5792	16573
259	5806	16526
260	5820	16480
261	5833	16432
262	5847	16384
263	5860	16338
264	5872	16289
265	5887	16244
266	5905	16211
267	5929	16195
268	5950	16171
269	5966	16130
270	5980	16087
271	5994	16043
272	6010	16005
273	6024	15962
274	6046	15940
275	6088	15970
276	6136	16015
277	6251	16235
278	6292	16260
279	6319	16249
280	6337	16215
281	6364	16204
282	6385	16178
283	6401	16139
284	6420	16108
285	6435	16065
286	6449	16021
287	6464	15981
288	6478	15938
289	6492	15896
290	6513	15869
291	6564	15916
292	6666	16086
293	6701	16092
294	6736	16098
295	6766	16094
296	6792	16077
297	6816	16058
298	6839	16035
299	6857	16000
300	6872	15958
301	6885	15914
302	6900	15872
303	6915	15832
304	6929	15790
305	6943	15748
306	6963	15719
307	7013	15757
308	7074	15820
309	7133	15877
310	7163	15869
311	7191	15857
312	7218	15843
313	7241	15820
314	7296	15867
315	7321	15847
316	7397	15937
317	7476	16035
318	7530	16076
319	7558	16062
320	7624	16127
321	7657	16124
322	7689	16117
323	7707	16080
324	7727	16049
325	7741	16005
326	7758	15967
327	7775	15931
328	7791	15890
329	7816	15869
330	7846	15859
331	7878	15851
332	7922	15868
333	7942	15836
334	7962	15805
335	7981	15772
336	8002	15744
337	8020	15707
338	8037	15671
339	8058	15643
340	8084	15623
341	8104	15593
342	8127	15568
343	8141	15526
344	8155	15483
345	8169	15441
346	8188	15409
347	8212	15387
348	8240	15372
349	8272	15362
350	8312	15370
351	8343	15358
352	8373	15348
353	8413	15353
354	8446	15346
355	8476	15334
356	8498	15307
357	8523	15284
358	8539	15246
359	8553	15205
360	8568	15167
361	8584	15128
362	8597	15087
363	8611	15046
364	8628	15011
365	8642	14971
366	8656	14930
367	8670	14890
368	8693	14866
369	8716	14841
370	8733	14806
371	8749	14770
372	8762	14730
373	8776	14690
374	8792	14653
375	8807	14616
376	8821	14577
377	8835	14538
378	8853	14506
379	8870	14473
380	8888	14440
381	8916	14424
382	8943	14407
383	8965	14382
384	8986	14354
385	9003	14321
386	9020	14289
387	9038	14256
388	9053	14220
389	9070	14186
390	9090	14158
391	9104	14120
392	9126	14095
393	9148	14071
394	9165	14038
395	9181	14004
396	9197	13969
397	9213	13935
398	9226	13898
399	9240	13860
400	9268	13845
401	9295	13827
402	9321	13809
403	9348	13791
404	9381	13782
405	9445	13819
406	9468	13796
407	9483	13760
408	9497	13723
409	9510	13686
410	9524	13649
411	9540	13616
412	9562	13591
413	9590	13575
414	9621	13562
415	9644	13539
416	9666	13515
417	9680	13478
418	9695	13443
419	9711	13411
420	9727	13377
421	9740	13341
422	9757	13310
423	9784	13292
424	9805	13266
425	9821	13234
426	9835	13198
427	9851	13165
428	9875	13144
429	9901	13125
430	9928	13107
431	9949	13081
432	9962	13046
433	9976	13010
434	9999	12987
435	10021	12963
436	10039	12934
437	10059	12907
438	10074	12873
439	10089	12840
440	10102	12806
441	10116	12771
442	10131	12738
443	10144	12703
444	10160	12671
445	10177	12642
446	10191	12608
447	10215	12586
448	10240	12567
449	10257	12536
450	10271	12503
451	10286	12471
452	10299	12437
453	10315	12405
454	10329	12372
455	10345	12342
456	10359	12308
457	10373	12275
458	10396	12254
459	10423	12235
460	10457	12227
461	10488	12213
462	10513	12194
463	10531	12165
464	10549	12137
465	10569	12112
466	10588	12085
467	10605	12056
468	10623	12027
469	10643	12002
470	10679	11994
471	10703	11973
472	10726	11951
473	10743	11922
474	10762	11895
475	10780	11867
476	10797	11838
477	10812	11807
478	10831	11781
479	10871	11776
480	10899	11760
481	10920	11736
482	10942	11712
483	10971	11696
484	10995	11675
485	11023	11658
486	11044	11633
487	11075	11619
488	11101	11600
489	11115	11568
490	11129	11537
491	11142	11504
492	11156	11473
493	11171	11442
494	11184	11410
495	11198	11379
496	11212	11347
497	11226	11316
498	11245	11290
499	11273	11273
500	11297	11252
501	11313	11223
502	11327	11191
503	11340	11160
504	11353	11128
505	11376	11106
506	11389	11074
507	11403	11044
508	11417	11013
509	11431	10983
510	11461	10967
511	11486	10948
512	11512	10929
513	11549	10920
514	11576	10902
515	11593	10874
516	11607	10843
517	11621	10813
518	11634	10783
519	11648	10752
520	11666	10726
521	11691	10706
522	11711	10681
523	11722	10648
524	11735	10617
525	11748	10587
526	11762	10557
527	11775	10526
528	11796	10503
529	11823	10485
530	11845	10462
531	11872	10443
532	11896	10423
533	11914	10397
534	11930	10369
535	11951	10346
536	11966	10317
537	11980	10287
538	11994	10258
539	12008	10229
540	12022	10199
541	12035	10170
542	12049	10140
543	12062	10111
544	12084	10088
545	12108	10068
546	12122	10039
547	12138	10011
548	12152	9983
549	12166	9954
550	12181	9926
551	12194	9897
552	12208	9868
553	12222	9839
554	12237	9812
555	12251	9783
556	12264	9754
557	12278	9725
558	12303	9706
559	12335	9692
560	12364	9675
561	12396	9661
562	12443	9658
563	12488	9654
564	12514	9634
565	12535	9612
566	12558	9590
567	12575	9564
568	12588	9535
569	12603	9507
570	12617	9479
571	12632	9452
572	12646	9423
573	12660	9396
574	12674	9368
575	12688	9339
576	12701	9311
577	12723	9289
578	12749	9270
579	12773	9250
580	12792	9225
581	12810	9200
582	12828	9176
583	12850	9154
584	12871	9131
585	12889	9106
586	12906	9080
587	12928	9058
588	12955	9040
589	12991	9027
590	13014	9006
591	13028	8979
592	13050	8957
593	13067	8931
594	13086	8907
595	13103	8882
596	13122	8857
597	13148	8838
598	13179	8822
599	13204	8803
600	13223	8779
601	13243	8755
602	13259	8729
603	13277	8705
604	13294	8679
605	13314	8656
606	13331	8631
607	13349	8606
608	13383	8592
609	13411	8574
610	13436	8554
611	13456	8531
612	13481	8511
613	13518	8498
614	13538	8475
615	13566	8457
616	13597	8440
617	13616	8416
618	13631	8390
619	13645	8363
620	13659	8336
621	13673	8309
622	13687	8283
623	13702	8256
624	13717	8230
625	13730	8203
626	13745	8177
627	13760	8150
628	13785	8130
629	13817	8115
630	13848	8098
631	13879	8081
632	13905	8062
633	13927	8040
634	13941	8013
635	13955	7987
636	13969	7960
637	13988	7937
638	14014	7917
639	14033	7893
640	14050	7869
641	14066	7843
