OPERATEUR;ANNEE;FILIERE ;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
REGAZ Bordeaux;2017;G;Region;75;0;0;0;0;0;0;0;0;0;508,98;30;1;;;0;0;0
Réseau GDS;2017;G;Region;44;0;0;0;0;0;0;0;0;0;244,52;18;1;;;0;0;0
GrDF;2017;G;Region;11;0;0;0;0;0;0;0;0;0;11273;596;0;0;0;10670;122;0
GrDF;2017;G;InterCom;200000172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200000438;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200000487;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200000545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200000933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200005932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200006070;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200006682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200006716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200006872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200006971;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200010650;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200010700;0;0;0;0;0;0;0;0;0;147;12;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200011773;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200017341;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200017846;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200018083;0;0;0;0;0;0;0;0;0;278;17;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200018166;0;0;0;0;0;0;0;0;0;254;15;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200018323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200018406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200022812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200022846;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200022986;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200022994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023125;0;0;0;0;0;0;0;0;0;226;11;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023281;0;0;0;0;0;0;0;0;0;212;16;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023307;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023372;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023414;0;0;0;0;0;0;0;0;0;704;55;0;0;0;379;4;0
GrDF;2017;G;InterCom;200023547;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023737;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023778;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200023919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200026573;0;0;0;0;0;0;0;0;0;210;5;0;0;0;0;0;0
GrDF;2017;G;InterCom;200027035;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200027068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200027100;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200027183;0;0;0;0;0;0;0;0;0;186;12;0;0;0;545;4;0
GrDF;2017;G;InterCom;200027274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200027399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-99;-99;-99
GrDF;2017;G;InterCom;200029734;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;0;0;0
GrDF;2017;G;InterCom;200030195;0;0;0;0;0;0;0;0;0;-99;-99;-99;0;0;1218;11;0
