DEP;REG;ANNEE;SUPER_PLOMBE;SUPER_SANS_PLOMB;GAZOLE;FOD;FOL;GNR;GPL;CARBUREACTEUR
75;11;2012;0;98027,06;172171;6163;28322;75485;;
77;11;2012;0;170012;729111;87707;14513;31385;;
78;11;2012;0;191061,3;595009;70939;730;13211;;
91;11;2012;0;166301,7;570225;62046;216;17371;;
92;11;2012;0;120880,5;276675;125605;27400;25582;;
93;11;2012;0;108930,2;376189;27654;1457;12161;;
94;11;2012;0;120866,4;415429;108713;6229;26843;;
95;11;2012;0;126945,5;458782;58833;1964;29876;;
99;11;2012;0;1103025;3593591;547660;80831;231914;87582;
18;24;2012;0;38167,72;193861;45957;104;22308;;
28;24;2012;0;57976,78;301216;52413;2989;26491;;
36;24;2012;0;27166,88;144162;29304;75;19828;;
37;24;2012;0;75204,72;340821;64095;2589;41771;;
41;24;2012;0;43484,62;201698;39164;1262;19676;;
45;24;2012;0;84492,46;431880;270637;20684;146778;;
99;24;2012;0;326493,2;1613638;501570;27703;276852;119657
21;27;2012;0;70954,9;360580;70323;4020;39280;
25;27;2012;0;59794,96;321160;116275;7620;33087;
39;27;2012;0;32052,36;185924;47290;1983;13492;
58;27;2012;0;28219,9;112240;37234;1110;23012;
70;27;2012;0;23522,38;143103;41055;3730;15283;
71;27;2012;0;78309,76;417738;70361;24267;31543;
89;27;2012;0;49600,72;246449;37516;913;22726;
90;27;2012;0;13823,94;58004;15077;471;2842;
99;27;2012;0;356278,9;1845198;435131;44114;181265;123163
14;28;2012;0;88682,34;451664;117379;5126;83717;
27;28;2012;0;67514,64;350375;50064;7878;13886;
50;28;2012;0;56823,86;315466;59347;19765;57298;
61;28;2012;0;27710,04;169147;48723;5358;32383;
76;28;2012;0;135952,8;715664;118203;28178;69861;
99;28;2012;0;376683,7;2002316;393716;66305;257145;139304
2;32;2012;0;51407,06;312719;66068;9196;27848;
59;32;2012;0;202956,8;1048703;355469;33804;217048;
60;32;2012;0;83850,14;425974;64840;16911;39008;
62;32;2012;0;127900,1;944018;94145;16326;77041;
80;32;2012;0;58296,46;348384;67994;36672;44961;
99;32;2012;0;524410,6;3079798;648516;112909;405906;147899
8;44;2012;0;22829;129442;32796;654;11518;
10;44;2012;0;36882,34;210005;31128;78;29054;
51;44;2012;0;60137,58;422690;99462;57956;90681;
52;44;2012;0;24761,14;158430;28803;2560;17035;
54;44;2012;0;61015,96;348965;331281;7199;220060;
55;44;2012;0;16294,06;106387;26806;5947;13591;
57;44;2012;0;93364,32;470029;131185;18316;51938;
67;44;2012;0;134894,6;598775;194374;5393;45705;
68;44;2012;0;92086,34;420363;110173;8691;25315;
88;44;2012;0;41554,7;233861;49551;8675;17461;
99;44;2012;0;583820;3098947;1035559;115469;522358;148972
44;52;2012;0;161837,3;735035;287510;13420;233307;
49;52;2012;0;79216,26;435197;47098;12507;28175;
53;52;2012;0;28315,36;207285;25714;13246;25997;
72;52;2012;0;71943,54;365326;42389;2306;16836;
85;52;2012;0;96178,54;546315;96414;3671;83260;
99;52;2012;0;437491;2289158;499125;45150;387575;180753
22;53;2012;0;66227,04;366999;58750;10147;45749;
29;53;2012;0;100753,2;498874;125876;8887;28501;
35;53;2012;0;111767,4;636271;254795;10046;176990;
56;53;2012;0;85489,24;443181;58322;9069;32433;
99;53;2012;0;364236,9;1945325;497743;38149;283673;175182
16;75;2012;0;45583,26;294338;37309;19533;33328;
17;75;2012;0;90505,7;442073;57083;8620;32598;
19;75;2012;0;31475,16;167594;35109;2888;15453;
23;75;2012;0;12858,98;70267;26776;638;13028;
24;75;2012;0;44820,32;222377;55975;851;24302;
33;75;2012;0;185318,9;827798;78159;11752;65223;
