DEP/REG/ANNEE/SUPER_PLOMBE/SUPER_SANS_PLOMB/GAZOLE/FOD/FOL/GNR/GPL/CARBUREACTEUR/SUPER_ETH_E85
75/11/2010/0.0/117211,6/257274.0/20016.0/55024.0/0.0///
77/11/2010/0.0/187748,4/691796.0/158005.0/26339.0/0.0///
78/11/2010/0.0/214284/540504.0/99206.0/1204.0/0.0///
91/11/2010/0.0/182665,3/551489.0/92474.0/971.0/0.0///
92/11/2010/0.0/141837,3/270645.0/194801.0/20635.0/0.0///
93/11/2010/0.0/126917,4/394741.0/68607.0/542.0/0.0///
94/11/2010/0.0/134117,6/370463.0/168198.0/11541.0/0.0///
95/11/2010/0.0/144019,5/440140.0/46871.0/2343.0/0.0///
99/11/2010/0.0/1248801/3517052.0/848178.0/118599.0/0.0/97789.0//
18/24/2010/0.0/44873,6/215234.0/79948.0/554.0/0.0///
28/24/2010/0.0/64658,98/308321.0/81791.0/2308.0/0.0///
36/24/2010/0.0/31133,28/154130.0/61116.0/492.0/0.0///
37/24/2010/0.0/85855,54/339947.0/118327.0/2016.0/0.0///
41/24/2010/0.0/48586,18/204704.0/64675.0/1576.0/0.0///
45/24/2010/0.0/97104,28/408017.0/469034.0/26433.0/0.0///
99/24/2010/0.0/372211,9/1630353.0/874891.0/33379.0/0.0/137033.0//
21/27/2010/0.0/81650,86/367861.0/115293.0/4444.0/0.0///
25/27/2010/0.0/60364,02/311217.0/142865.0/10180.0/0.0///
39/27/2010/0.0/35053,8/184670.0/73632.0/2505.0/0.0///
58/27/2010/0.0/32548,9/117707.0/69430.0/1905.0/0.0///
70/27/2010/0.0/25982,88/146667.0/68971.0/5710.0/0.0///
71/27/2010/0.0/88866,6/421261.0/115144.0/34008.0/0.0///
89/27/2010/0.0/57202,74/258615.0/73101.0/1805.0/0.0///
90/27/2010/0.0/13636,72/54836.0/19401.0/281.0/0.0///
99/27/2010/0.0/395306,5/1862834.0/677837.0/60838.0/0.0/135029.0//
14/28/2010/0.0/98971,3/459390.0/224631.0/8437.0/0.0///
27/28/2010/0.0/76301,4/347617.0/92547.0/10176.0/0.0///
50/28/2010/0.0/64092,88/315343.0/127838.0/18042.0/0.0///
61/28/2010/0.0/32325,42/176168.0/89842.0/6795.0/0.0///
76/28/2010/0.0/149963,2/697024.0/191172.0/105120.0/0.0///
99/28/2010/0.0/421654,2/1995542.0/726030.0/148570.0/0.0/161521.0//
2/32/2010/0.0/59007,6/313076.0/104678.0/15536.0/0.0///
59/32/2010/0.0/230104,5/975490.0/673293.0/101453.0/0.0///
60/32/2010/0.0/94591,98/418597.0/115808.0/15748.0/0.0///
62/32/2010/0.0/145768,9/894110.0/164471.0/24520.0/0.0///
80/32/2010/0.0/67351,84/357883.0/117064.0/42986.0/0.0///
99/32/2010/0.0/596824,8/2959156.0/1175314.0/200243.0/0.0/174985.0//
8/44/2010/0.0/25191,82/126211.0/51314.0/2577.0/0.0///
10/44/2010/0.0/39110,48/204342.0/60315.0/155.0/0.0///
51/44/2010/0.0/69089,36/426148.0/200718.0/66200.0/0.0///
52/44/2010/0.0/28325,72/172783.0/48107.0/3849.0/0.0///
54/44/2010/0.0/74330,04/345500.0/561519.0/3497.0/0.0///
55/44/2010/0.0/18821,16/103873.0/45834.0/5818.0/0.0///
57/44/2010/0.0/106318/443636.0/189986.0/1669.0/0.0///
67/44/2010/0.0/154867,9/591067.0/276364.0/10353.0/0.0///
68/44/2010/0.0/99720,92/398305.0/166149.0/14167.0/0.0///
88/44/2010/0.0/46861,24/237192.0/61719.0/16705.0/0.0///
99/44/2010/0.0/662636,7/3049057.0/1662025.0/124990.0/0.0/169682.0//
44/52/2010/0.0/174058,4/702107.0/576548.0/21812.0/0.0///
49/52/2010/0.0/88874,74/415721.0/73785.0/19517.0/0.0///
53/52/2010/0.0/31578,76/199068.0/52609.0/14228.0/0.0///
72/52/2010/0.0/83267,76/367725.0/67765.0/4211.0/0.0///
85/52/2010/0.0/106070,1/549503.0/193297.0/5236.0/0.0///
99/52/2010/0.0/483849,7/2234124.0/964004.0/65004.0/0.0/198416.0//
22/53/2010/0.0/73330,3/369149.0/118182.0/13054.0/0.0///
29/53/2010/0.0/111153,2/474794.0/203598.0/12377.0/0.0///
35/53/2010/0.0/125790,4/609631.0/477424.0/14773.0/0.0///
56/53/2010/0.0/93780,94/441373.0/118673.0/13578.0/0.0///
99/53/2010/0.0/404054,8/1894947.0/917877.0/53782.0/0.0/199102.0//
16/75/2010/0.0/56467,18/294547.0/79115.0/23872.0/0.0///
17/75/2010/0.0/97379,56/429386.0/111602.0/12504.0/0.0///
19/75/2010/0.0/35404,56/168702.0/50235.0/3510.0/0.0///
23/75/2010/0.0/14819,24/72403.0/43591.0/1075.0/0.0///
24/75/2010/0.0/48780,8/215000.0/84279.0/451.0/0.0///
33/75/2010/0.0/206892,2/832276.0/172572.0/26465.0/0.0///
40/75/2010/0.0/54509,14/255304.0/68637.0/24225.0/0.0///
47/75/2010/0.0/45111,88/230665.0/578579.0/856.0/0.0///
64/75/2010/0.0/69497,84/281621.0/66979.0/4053.0/0.0///
79/75/2010/0.0/46873,82/283293.0/106580.0/22417.0/0.0///
86/75/2010/0.0/56410,94/271411.0/106125.0/4099.0/0.0///
87/75/2010/0.0/51271,64/206119.0/67365.0/1217.0/0.0///
99/75/2010/0.0/783418,8/3540727.0/1535659.0/124744.0/0.0/360776.0//
9/76/2010/0.0/17132,48/72721.0/12005.0/1630.0/0.0///
11/76/2010/0.0/49555,58/259978.0/53798.0/5810.0/0.0///
12/76/2010/0.0/30651,54/159058.0/65470.0/2109.0/0.0///
30/76/2010/0.0/97709,6/366926.0/89588.0/2843.0/0.0///
31/76/2010/0.0/159880,7/658904.0/73570.0/2762.0/0.0///
32/76/2010/0.0/20545,36/107530.0/44314.0/785.0/0.0///
34/76/2010/0.0/165026,7/649296.0/204398.0/6823.0/0.0///
46/76/2010/0.0/26123,48/110003.0/30064.0/8143.0/0.0///
48/76/2010/0.0/11248,74/55131.0/36582.0/2329.0/0.0///
65/76/2010/0.0/27966,08/114966.0/26793.0/302.0/0.0///
66/76/2010/0.0/59505,62/222887.0/47634.0/2605.0/0.0///
81/76/2010/0.0/44839,56/208954.0/54753.0/8058.0/0.0///
82/76/2010/0.0/27704,86/162440.0/34541.0/328.0/0.0///
99/76/2010/0.0/737890,3/3148794.0/773510.0/44527.0/0.0/243505.0//
1/84/2010/0.0/78514,74/356181.0/93254.0/27843.0/0.0///
3/84/2010/0.0/48504,78/220894.0/95833.0/4473.0/0.0///
7/84/2010/0.0/36970,4/128079.0/29752.0/9774.0/0.0///
15/84/2010/0.0/16106,1/79339.0/43990.0/17531.0/0.0///
